cheater1_rank,cheater1_username,cheater1_submission_id,cheater2_rank,cheater2_username,cheater2_submission_id,similarity_percentage
321,https://leetcode.com/u/k1384,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327909436,3468,https://leetcode.com/u/DevP21,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327914536,77
322,https://leetcode.com/u/ravikjha7,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327904209,3251,https://leetcode.com/u/vikaskunch2003,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327916588,60
327,https://leetcode.com/u/EUqr2c2cjD8nuX5K,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327916637,3959,https://leetcode.com/u/Ricky-Daxia,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327925244,78
328,https://leetcode.com/u/zhiylu528,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327912305,3972,https://leetcode.com/u/hank86072433,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327934912,73
329,https://leetcode.com/u/sharpdevtrev,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327921915,3506,https://leetcode.com/u/reobb,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327915707,100
331,https://leetcode.com/u/Roumak2008,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327907551,8371,https://leetcode.com/u/fazliddin2001,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327970971,52
333,https://leetcode.com/u/sveng101,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327905435,4728,https://leetcode.com/u/loftysense,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327946185,59
334,https://leetcode.com/u/BrayBray123,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327911801,44,https://leetcode.com/u/horiseun,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327905105,61
338,https://leetcode.com/u/osvarp,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327903987,3598,https://leetcode.com/u/aniketjat,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327927693,55
339,https://leetcode.com/u/Priyanshu236,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327923766,4491,https://leetcode.com/u/rahulraw,https://leetcode.com/contest/weekly-contest-408/submissions/detail/1327923863,71
